q,p,fsz,nc,uc,level
0,7492,3,1,2,0
1,7493,4,2,2,0
2,7494,4,2,2,0
3,7495,8,2,6,0
4,7496,8,2,6,0
5,7497,6,2,4,0
6,7498,6,2,4,0
7,7499,6,2,4,0
8,7500,4,2,2,0
9,7501,4,2,2,0
10,7502,4,2,2,0
11,7503,3,1,2,0
12,7504,3,1,2,0
13,7505,3,1,2,0
14,7506,3,1,2,0
15,7507,3,1,2,0
16,7508,3,1,2,0
17,7509,3,1,2,0
18,7510,3,1,2,0
19,7511,3,1,2,0
20,7512,3,1,2,0
21,7513,3,1,2,0
22,7514,3,1,2,0
23,7515,3,1,2,0
24,7516,3,1,2,0
25,7517,3,1,2,0
26,7518,3,1,2,0
27,7519,3,1,2,0
28,7520,3,1,2,0
29,7521,3,1,2,0
30,7522,3,1,2,0
31,7523,3,1,2,0
32,7524,6,2,4,0
33,7525,6,2,4,0
34,7526,6,2,4,0
35,7527,6,2,4,0
36,7528,6,2,4,0
37,7529,6,2,4,0
38,7530,6,2,4,0
39,7531,6,2,4,0
40,7532,6,2,4,0
41,7533,6,2,4,0
42,7534,6,2,4,0
43,7535,6,2,4,0
44,7536,6,2,4,0
45,7537,6,2,4,0
46,7538,6,2,4,0
47,7539,6,2,4,0
48,7540,6,2,4,0
49,7541,6,2,4,0
50,7570,6,2,4,0
51,7571,3,1,2,0
52,7572,3,1,2,0
53,7573,3,1,2,0
54,7574,3,1,2,0
55,7575,3,1,2,0
56,7576,3,1,2,0
57,7577,6,2,4,0
58,7578,6,2,4,0
59,7579,6,2,4,0
60,7580,8,2,6,0
61,7581,6,2,4,0
62,7582,6,2,4,0
63,7583,6,2,4,0
64,7584,6,2,4,0
65,7585,6,2,4,0
66,7586,6,2,4,0
67,7587,3,1,2,0
68,7588,3,1,2,0
69,7589,3,1,2,0
70,7590,3,1,2,0
71,7591,3,1,2,0
72,7592,3,1,2,0
73,7593,3,1,2,0
74,7594,3,1,2,0
75,7595,3,1,2,0
76,7596,3,1,2,0
77,7597,3,1,2,0
78,7598,3,1,2,0
79,7599,3,1,2,0
80,7600,3,1,2,0
81,7601,3,1,2,0
82,7602,3,1,2,0
83,7603,3,1,2,0
84,7604,8,2,6,0
85,7605,6,2,4,0
86,7606,6,2,4,0
87,7607,8,2,6,0
88,7608,6,2,4,0
89,7609,6,2,4,0
90,7610,6,2,4,0
91,7611,6,2,4,0
92,7612,6,2,4,0
93,7613,6,2,4,0
94,7614,6,2,4,0
95,7615,6,2,4,0
96,7616,6,2,4,0
97,7617,6,2,4,0
98,7618,6,2,4,0
99,7646,4,2,2,0
100,7647,6,2,4,0
101,7648,6,2,4,0
102,7649,6,2,4,0
103,7650,6,2,4,0
104,7651,6,2,4,0
105,7652,6,2,4,0
106,7653,5,3,2,0
107,7654,4,2,2,0
108,7655,3,1,2,0
109,7656,3,1,2,0
110,7657,3,1,2,0
111,7658,3,1,2,0
112,7659,3,1,2,0
113,7660,3,1,2,0
114,7661,3,1,2,0
115,7662,6,2,4,0
116,7663,6,2,4,0
117,7664,6,2,4,0
118,7665,6,2,4,0
119,7666,6,2,4,0
120,7667,6,2,4,0
121,7668,6,2,4,0
122,7669,6,2,4,0
123,7670,6,2,4,0
124,7671,6,2,4,0
125,7672,6,2,4,0
126,7673,6,2,4,0
127,7674,6,2,4,0
128,7675,6,2,4,0
129,7676,6,2,4,0
130,7677,6,2,4,0
131,7678,6,2,4,0
132,7679,6,2,4,0
133,7680,6,2,4,0
134,7681,6,2,4,0
135,7682,6,2,4,0
136,7707,6,2,4,0
137,7717,6,2,4,0
138,7718,12,2,10,0
139,7719,8,2,6,0
140,7720,6,2,4,0
141,7721,8,4,4,0
