type vector
size 53
values
0 9.04832e-15
1 -2.07612e-14
2 -1.33782e-14
3 -8.51986e-15
4 1.21463e-14
5 -8.84709e-16
6 -2.01922e-14
7 -1.54681e-13
8 5.63438e-14
9 -4.77626e-15
10 -1.98667e-13
11 7.43849e-14
12 -4.09395e-16
13 4.38538e-14
14 -2.26971e-14
15 4.57273e-14
16 -3.9635e-14
17 1.38334e-13
18 -7.33545e-14
19 9.40636e-14
20 1.66678e-13
21 9.50628e-16
22 2.40502e-14
23 -1.41796e-16
24 5.905e-15
25 1.35397e-14
26 -3.98984e-14
27 9.80466e-15
28 9.5618e-15
29 4.35416e-15
30 1.04677e-13
31 3.28857e-14
32 -2.73115e-14
33 5.0432e-15
34 1.54494e-14
35 6.63913e-14
36 1.14249e-14
37 -5.33254e-15
38 5.11743e-15
39 1.33088e-14
40 -1.18048e-14
41 1.78885e-14
42 2.75622e-14
43 7.69523e-14
44 -8.11375e-14
45 4.51028e-16
46 8.88178e-15
47 -6.33094e-15
48 -4.14599e-15
49 -2.29326e-14
50 -3.35533e-14
51 -3.66547e-15
52 1.98487e-14
