type vector
size 53
values
0 0.0394591
1 0.0232084
2 0.0058122
3 -5.89135e-17
4 -1.51395e-16
5 0.00859004
6 0.0158208
7 0.0237654
8 0.010614
9 0.00323152
10 -0.000907438
11 0.00680974
12 0.000493795
13 -0.000195734
14 -0.000102385
15 0.000911549
16 0.000883423
17 0.00334965
18 -0.000237835
19 0.00262076
20 -0.000526154
21 0.000858915
22 0.00274961
23 -0.000517325
24 0.00139906
25 0.000331002
26 0.0018279
27 0.000139879
28 0.00487648
29 0.0717534
30 0.0645112
31 0.0659168
32 0.0080738
33 0.0117023
34 0.0128809
35 0.0257635
36 0.000808371
37 0.00279149
38 0.000689653
39 0.000519966
40 0.00044
41 0.000295579
42 0.00106906
43 0.00172736
44 0.000664811
45 0.000385673
46 0.000254815
47 0.00066541
48 0.000675606
49 0.00949516
50 0.00793968
51 0.00123042
52 0.00131239
