type vector
size 53
values
0 4.21228e-05
1 5.76959e-05
2 0.000224821
3 4.46306e-09
4 -6.64208e-09
5 -0.000271972
6 0.000284839
7 0.000383538
8 0.000105307
9 1.34086e-05
10 -8.67982e-08
11 0.000161584
12 1.31162e-05
13 -1.01923e-05
14 -3.58232e-06
15 2.32101e-05
16 1.4517e-05
17 6.10042e-05
18 -4.05203e-06
19 5.31207e-05
20 -7.69429e-06
21 1.37614e-05
22 4.99141e-05
23 -1.08433e-05
24 2.82766e-05
25 -1.94892e-05
26 -2.8397e-05
27 -7.67775e-07
28 0.000129265
29 0.000966189
30 0.00053251
31 0.000374722
32 1.64055e-05
33 7.02916e-05
34 0.000126397
35 0.000204677
36 3.50196e-06
37 2.86078e-05
38 6.03479e-06
39 3.35996e-06
40 1.84436e-06
41 -8.98346e-06
42 1.21028e-05
43 1.02824e-05
44 9.91139e-06
45 2.18715e-06
46 -3.56696e-06
47 1.11506e-05
48 4.16602e-06
49 0.000135294
50 3.84795e-05
51 1.99748e-05
52 -5.19266e-06
