type vector
size 53
values
0 -1.18689e-08
1 5.86873e-10
2 2.91321e-08
3 -6.97317e-11
4 1.88654e-16
5 -8.72408e-08
6 6.83663e-08
7 6.31515e-08
8 3.07295e-09
9 -1.83785e-09
10 -8.00134e-10
11 3.0715e-08
12 2.39781e-09
13 -2.622e-09
14 -3.44869e-10
15 3.93992e-09
16 2.23823e-09
17 9.80329e-09
18 -7.89824e-10
19 1.04544e-08
20 -2.75241e-09
21 2.16498e-09
22 8.71659e-09
23 -2.62943e-09
24 6.24548e-09
25 -1.23382e-08
26 -1.13142e-08
27 -1.80587e-09
28 3.82896e-08
29 1.43141e-07
30 6.00388e-08
31 3.39459e-08
32 1.50763e-09
33 5.81216e-09
34 1.73706e-08
35 2.29863e-08
36 -2.04833e-10
37 3.19499e-09
38 5.5762e-10
39 -1.50355e-10
40 -3.6059e-11
41 -2.90865e-09
42 1.746e-09
43 -6.328e-10
44 2.23206e-09
45 -4.61051e-11
46 -1.23663e-09
47 2.38021e-09
48 -5.25573e-10
49 2.96578e-08
50 3.6582e-09
51 5.50569e-09
52 -5.95236e-09
