q,p,fsz,nc,uc,level
0,11334,4,2,2,0
1,11335,4,2,2,0
2,11336,6,2,4,0
3,11337,6,2,4,0
4,11338,5,1,4,0
5,11339,4,2,2,0
6,11340,4,2,2,0
7,11341,4,2,2,0
8,11342,4,2,2,0
9,11343,4,2,2,0
10,11344,4,2,2,0
11,11345,4,2,2,0
12,11346,4,2,2,0
13,11347,4,2,2,0
14,11348,4,2,2,0
15,11349,4,2,2,0
16,11350,4,2,2,0
17,11351,3,1,2,0
18,11352,3,1,2,0
19,11353,3,1,2,0
20,11354,3,1,2,0
21,11355,3,1,2,0
22,11356,3,1,2,0
23,11357,3,1,2,0
24,11358,4,2,2,0
25,11359,3,1,2,0
26,11360,3,1,2,0
27,11361,3,1,2,0
28,11362,3,1,2,0
29,11363,3,1,2,0
30,11364,3,1,2,0
31,11365,3,1,2,0
32,11366,3,1,2,0
33,11367,10,2,8,0
34,11368,9,2,7,0
35,11369,6,2,4,0
36,11370,6,2,4,0
37,11371,6,2,4,0
38,11372,8,2,6,0
39,11373,6,2,4,0
40,11374,8,2,6,0
41,11375,6,2,4,0
42,11376,5,1,4,0
43,11377,4,2,2,0
44,11378,3,1,2,0
45,11379,3,1,2,0
46,11407,4,2,2,0
47,11408,6,2,4,0
48,11409,6,2,4,0
49,11410,3,1,2,0
50,11411,4,2,2,0
51,11412,4,2,2,0
52,11413,8,2,6,0
53,11414,6,2,4,0
54,11415,6,2,4,0
55,11416,6,2,4,0
56,11417,4,2,2,0
57,11418,4,2,2,0
58,11419,4,2,2,0
59,11420,6,2,4,0
60,11421,4,2,2,0
61,11422,4,2,2,0
62,11423,4,2,2,0
63,11424,4,2,2,0
64,11425,3,1,2,0
65,11426,3,1,2,0
66,11427,4,2,2,0
67,11428,4,2,2,0
68,11429,4,2,2,0
69,11430,4,2,2,0
70,11431,4,2,2,0
71,11432,4,2,2,0
72,11433,4,2,2,0
73,11434,4,2,2,0
74,11435,3,1,2,0
75,11436,3,1,2,0
76,11437,3,1,2,0
77,11438,3,1,2,0
78,11439,3,1,2,0
79,11440,6,2,4,0
80,11441,8,2,6,0
81,11442,6,1,5,0
82,11443,4,2,2,0
83,11466,4,2,2,0
84,11467,4,2,2,0
85,11468,6,2,4,0
86,11469,4,2,2,0
87,11470,4,2,2,0
88,11471,4,2,2,0
89,11472,4,2,2,0
90,11473,6,2,4,0
91,11474,6,2,4,0
92,11475,4,2,2,0
93,11476,4,2,2,0
94,11477,4,2,2,0
95,11478,4,2,2,0
96,11479,4,2,2,0
97,11480,4,2,2,0
98,11481,4,2,2,0
99,11482,4,2,2,0
100,11483,4,2,2,0
101,11484,4,2,2,0
102,11485,4,2,2,0
103,11486,4,2,2,0
104,11487,4,2,2,0
105,11488,3,1,2,0
106,11489,3,1,2,0
107,11490,3,1,2,0
108,11491,3,1,2,0
109,11492,3,1,2,0
110,11493,3,2,1,0
111,11494,3,1,2,0
112,11495,3,1,2,0
113,11496,8,2,6,0
114,11497,8,2,6,0
115,11498,6,2,4,0
116,11499,7,2,5,0
117,11500,6,2,4,0
118,11501,4,2,2,0
119,11532,6,4,2,0
120,11533,8,2,6,0
121,11534,6,2,4,0
122,11535,6,2,4,0
123,11536,4,2,2,0
124,11537,4,2,2,0
125,11538,4,2,2,0
126,11539,4,2,2,0
127,11540,4,2,2,0
128,11541,4,2,2,0
129,11542,4,2,2,0
130,11543,4,2,2,0
131,11544,4,2,2,0
132,11545,4,2,2,0
133,11546,4,2,2,0
134,11547,4,2,2,0
135,11548,3,1,2,0
136,11549,3,1,2,0
137,11550,3,2,1,0
138,11551,3,1,2,0
139,11552,3,1,2,0
140,11553,3,1,2,0
141,11554,8,2,6,0
142,11555,6,2,4,0
143,11556,7,2,5,0
144,11557,6,2,4,0
145,11558,6,2,4,0
146,11559,4,2,2,0
147,11560,5,2,3,0
148,11561,4,2,2,0
149,11562,4,2,2,0
150,11588,4,2,2,0
151,11589,6,2,4,0
152,11590,6,2,4,0
153,11591,6,4,2,0
154,11592,4,2,2,0
155,11593,4,2,2,0
156,11594,4,2,2,0
157,11595,4,2,2,0
158,11596,4,2,2,0
159,11597,4,2,2,0
160,11598,4,2,2,0
161,11599,4,2,2,0
162,11600,4,2,2,0
163,11601,4,2,2,0
164,11602,4,2,2,0
165,11603,4,2,2,0
166,11604,4,2,2,0
167,11605,4,2,2,0
168,11606,4,2,2,0
169,11607,3,2,1,0
170,11608,3,2,1,0
171,11609,3,1,2,0
172,11610,3,1,2,0
173,11611,3,2,1,0
174,11612,3,2,1,0
175,11613,3,1,2,0
176,11614,3,1,2,0
177,11615,4,2,2,0
178,11616,10,2,8,0
179,11617,8,2,6,0
180,11618,8,4,4,0
181,11619,6,2,4,0
182,11620,6,2,4,0
183,11621,6,2,4,0
184,11622,6,2,4,0
185,11623,6,2,4,0
186,11624,6,2,4,0
187,11625,4,2,2,0
188,11626,4,2,2,0
189,11627,4,2,2,0
190,11628,4,1,3,0
191,11659,4,2,2,0
192,11660,4,2,2,0
193,11661,4,2,2,0
194,11662,7,2,5,0
195,11663,6,2,4,0
196,11664,4,2,2,0
197,11665,4,2,2,0
198,11666,4,2,2,0
199,11667,4,2,2,0
200,11668,4,2,2,0
201,11669,4,2,2,0
202,11670,4,2,2,0
203,11671,4,2,2,0
204,11672,4,2,2,0
205,11673,4,2,2,0
206,11674,4,2,2,0
207,11675,4,2,2,0
208,11676,4,2,2,0
209,11677,4,2,2,0
210,11678,4,2,2,0
211,11679,4,2,2,0
212,11680,4,2,2,0
213,11681,4,2,2,0
214,11682,4,2,2,0
215,11683,4,2,2,0
216,11684,4,2,2,0
217,11685,4,2,2,0
218,11686,4,2,2,0
219,11687,4,2,2,0
220,11688,3,1,2,0
221,11689,4,2,2,0
222,11690,4,2,2,0
223,11691,4,2,2,0
224,11692,4,2,2,0
225,11693,4,2,2,0
226,11694,4,2,2,0
227,11695,3,1,2,0
228,11696,3,1,2,0
229,11697,3,1,2,0
230,11698,3,1,2,0
231,11699,12,2,10,0
232,11700,8,2,6,0
233,11701,10,2,8,0
234,11702,8,2,6,0
235,11703,6,2,4,0
236,11704,8,2,6,0
237,11705,6,2,4,0
238,11706,8,2,6,0
239,11707,6,2,4,0
240,11708,8,2,6,0
241,11709,6,2,4,0
242,11710,4,2,2,0
243,11711,5,2,3,0
244,11712,8,2,6,0
245,11713,4,2,2,0
246,11714,4,2,2,0
247,11715,4,2,2,0
248,11716,4,2,2,0
